symbol,LK01,LK02,LK03,LK04_treated,LK05_treated,LK06_treated,log2FoldChange,pvalue,padj,qval
Gm10434,20.60984389,20.65988359,17.1410974,17.20301789,24.8152365,12.6718252,-0.095806435,0.80472222,0.919299231,0.95794213
2310033P09Rik,135.782501,114.9206025,129.7825946,158.513522,173.7066555,100.2226175,0.181532793,0.314835305,0.597256059,0.697167331
Arf1,4455.363313,5035.846626,5054.175004,4890.57223,5253.740069,4602.176516,0.019858749,0.786969054,0.909874305,0.951170626
Wnt9a,36.37031276,30.98982539,34.28219479,22.11816586,18.90684685,12.6718252,-0.92712605,0.00755084,0.049290912,0.064988473
Snap47,1879.132826,1985.93131,1922.251637,1721.530576,1638.987287,1325.93371,-0.304684016,0.003716675,0.028861708,0.038321331
Jmjd4,294.5995333,201.433865,242.4240918,181.8604749,159.5265203,188.9253939,-0.478792772,0.009293864,0.057425154,0.075453629
Zfp867,123.6590634,120.0855734,90.60294338,113.0484033,82.71745498,81.79087175,-0.270509258,0.163896873,0.412929253,0.502939873
Gm12263,7.274062551,2.582485449,7.346184599,4.91514797,5.908389642,4.607936437,-0.166366159,0.813851087,NA,0.960673668
Zkscan17,465.5400033,432.5663127,483.6238194,448.5072522,417.1323087,425.0821363,-0.098999313,0.399460234,0.672732518,0.765120998
4933439C10Rik,130.9331259,107.1731461,82.03239468,106.9044683,98.07926805,145.1499978,0.130379465,0.530473107,0.766180386,0.850046632
Nlrp3,7.274062551,5.164970898,6.121820499,19.66059188,34.26865992,50.6873008,2.495724002,6.35E-07,1.86E-05,2.48E-05
Gm12261,0,0,0,0,0,0,0,1,NA,1
Mprip,2000.367202,1962.688941,1696.968642,1945.169809,1713.432996,1837.414654,-0.04248191,0.568484199,0.789578257,0.871571182
1700007J10Rik,54.55546913,40.02852446,40.40401529,49.1514797,31.90530407,41.47142793,-0.144493146,0.559340218,0.783741063,0.867104741
Gm12264,225.4959391,258.2485449,209.3662611,248.2149725,209.1569933,220.0289648,-0.032655852,0.803880607,0.918953925,0.957768903
Pld6,53.34312537,59.39716533,46.52583579,50.38026669,36.63201578,46.07936437,-0.25869258,0.359753604,0.638785045,0.735681931
Flcn,928.655319,637.8739059,897.4588851,957.2250671,699.5533336,1084.017047,0.153190199,0.347592609,0.627277219,0.725566142
Gm16062,161.2417199,178.191496,137.1287792,179.4029009,144.1647073,165.8857117,0.039154663,0.799685921,0.917298662,0.956134297
Cops3,775.9000054,777.3281202,827.6701314,713.9252426,687.7365543,675.062688,-0.197603661,0.021918062,0.107489675,0.139730639
Nt5m,261.8662518,207.8900787,257.116461,238.3846765,261.1508222,182.0134892,-0.095133769,0.535328188,0.768963558,0.852887109
Med9,179.4268763,232.4236904,211.8149893,222.4104456,172.5249775,193.5333303,-0.083362872,0.536594966,0.76968258,0.853620059
Rasd1,1.212343759,5.164970898,3.673092299,12.28786992,5.908389642,12.6718252,1.631355043,0.021091506,0.104315673,0.13572204
Pemt,7734.753179,9555.196162,8242.41912,9822.923217,8720.783111,9569.531995,0.138992251,0.136898556,0.371268715,0.455761699
Rai1,332.1821898,272.4522149,340.3732197,304.7391741,348.5949889,306.427773,0.021164125,0.864123994,0.947656762,0.979925463
4930412M03Rik,21.82218765,11.62118452,15.9167333,17.20301789,15.36181307,9.215872873,-0.251793217,0.545777888,0.775953268,0.859472793
Srebf1,10055.17913,7475.004133,10633.60221,12711.80144,10870.25526,12632.65774,0.362690329,0.020614313,0.102624579,0.133498132
Mir6921,20.60984389,19.36864087,9.794912798,27.03331383,14.18013514,24.19166629,0.394239472,0.434916459,0.69850165,0.789289856
Mir6922,6.061718793,5.164970898,3.673092299,8.601508947,7.09006757,9.215872873,0.741552344,0.313161253,NA,0.695555869
Tom1l2,923.805944,757.9594793,846.0355929,783.9661012,626.289302,695.7984019,-0.264517843,0.0079,0.050978958,0.067200402
Gm12265,33.94562524,41.31976719,51.42329219,38.09239676,14.18013514,27.64761862,-0.668321539,0.047195437,0.18480996,0.237125567
Drc3,8.48640631,2.582485449,9.794912798,22.11816586,4.726711713,10.36785698,0.81682168,0.167002248,0.417328966,0.507780058
